Datetime,Speed,Surface Temperature (°C) Surface site 1,Surface State Surface site 1,Air Temperature (°C) Atmospheric site,Dew Point Temperature (°C) Atmospheric site,Level of grip Surface site 1,Water Layer (mm) Surface site 1,Ice Layer (mm) Surface site 1,Snow Layer (water equivalent) (mm) Surface site 1,Relative Humidity (%) Atmospheric site,Rain State Atmospheric site,Rain Intensity (mm/h) Atmospheric site,Wind Speed (m/s) Atmospheric site,Wind Direction (°) Atmospheric site,Visibility (m) Atmospheric site,"Precipitation, Rolling Average (past 1 hour) (mm) Atmospheric site","Precipitation, Rolling Average (past 3 hours) (mm) Atmospheric site","Precipitation, Rolling Average (past 6 hours) (mm) Atmospheric site","Precipitation, Rolling Average (past 12 hours) (mm) Atmospheric site","Precipitation, Rolling Average (past 24 hours) (mm) Atmospheric site",Alarm Status Surface site 1,Rain on/off Atmospheric site,"Wind Direction, near instantaneous value (Spot Direction) (°) Atmospheric site","Wind Speed, near-instantaneous value (Spot Speed) (m/s) Atmospheric site",Max Wind Speed (m/s) Atmospheric site
00:00:00,60.59070605854173,11.4,0,10.3,4.7,0.82,0.0,0,0,69,0,0,0.8,129,2000,0,0,0,0,0,0,0,128,0.7,1.7
00:10:00,59.23946648541806,11.9,0,10.5,3.9,0.82,0.0,0,0,64,0,0,0.4,131,2000,0,0,0,0,0,0,0,140,0.3,1.0
00:20:00,59.69958696549597,11.3,0,10.3,4.5,0.82,0.0,0,0,68,0,0,0.4,118,2000,0,0,0,0,0,0,0,117,0.4,1.0
00:30:00,61.2054048053632,10.7,0,9.8,4.9,0.82,0.0,0,0,72,0,0,0.5,101,2000,0,0,0,0,0,0,0,74,0.4,1.0
00:40:00,61.31241311791067,11.0,0,9.6,4.0,0.82,0.0,0,0,69,0,0,0.4,101,2000,0,0,0,0,0,0,0,38,0.4,0.9
00:50:00,60.21907141075193,10.7,0,9.7,4.2,0.82,0.0,0,0,68,0,0,0.2,63,2000,0,0,0,0,0,0,0,95,0.4,0.5
01:00:00,60.7208277530428,10.7,0,9.3,4.2,0.82,0.0,0,0,71,0,0,0.2,125,2000,0,0,0,0,0,0,0,78,0.2,0.7
01:10:00,60.9085753192628,10.7,0,9.4,4.3,0.82,0.0,0,0,71,0,0,0.3,110,2000,0,0,0,0,0,0,0,102,0.2,0.7
01:20:00,58.929005233110814,10.6,0,9.3,4.3,0.82,0.0,0,0,71,0,0,0.3,80,2000,0,0,0,0,0,0,0,60,0.1,0.8
01:30:00,58.44468085572778,10.6,0,9.0,4.3,0.82,0.0,0,0,73,0,0,0.2,357,2000,0,0,0,0,0,0,0,338,0.2,0.3
01:40:00,60.78471953874955,10.4,0,8.8,4.8,0.82,0.0,0,0,77,0,0,0.2,5,2000,0,0,0,0,0,0,0,61,0.1,0.5
01:50:00,60.44589655204315,10.2,0,8.6,4.7,0.82,0.0,0,0,77,0,0,0.2,37,2000,0,0,0,0,0,0,0,335,0.2,0.4
02:00:00,59.49913145580573,9.8,0,8.5,4.7,0.82,0.0,0,0,77,0,0,0.3,50,2000,0,0,0,0,0,0,0,43,0.3,0.4
02:10:00,60.39523544450464,10.1,0,8.3,4.4,0.82,0.0,0,0,77,0,0,0.3,328,2000,0,0,0,0,0,0,0,323,0.2,0.4
02:20:00,62.593262105568186,9.5,0,8.4,4.7,0.82,0.0,0,0,78,0,0,0.1,95,2000,0,0,0,0,0,0,0,77,0.1,0.4
02:30:00,61.22501670860121,9.9,0,8.3,4.1,0.82,0.0,0,0,75,0,0,0.2,352,2000,0,0,0,0,0,0,0,335,0.2,0.5
02:40:00,61.04815960015637,9.6,0,8.4,4.5,0.82,0.0,0,0,77,0,0,0.5,46,2000,0,0,0,0,0,0,0,62,0.6,0.9
02:50:00,60.87124646551471,10.1,0,8.2,4.1,0.82,0.0,0,0,76,0,0,0.2,106,2000,0,0,0,0,0,0,0,44,0.2,0.8
03:00:00,60.11728174093686,10.2,0,8.8,3.9,0.82,0.0,0,0,71,0,0,0.3,66,2000,0,0,0,0,0,0,0,81,0.3,1.1
03:10:00,61.84492820012829,10.5,0,9.1,3.9,0.82,0.0,0,0,70,0,0,0.5,101,2000,0,0,0,0,0,0,0,99,1.1,1.1
