Datetime,Speed,Surface Temperature (°C) Surface site 1,Surface State Surface site 1,Air Temperature (°C) Atmospheric site,Dew Point Temperature (°C) Atmospheric site,Level of grip Surface site 1,Water Layer (mm) Surface site 1,Ice Layer (mm) Surface site 1,Snow Layer (water equivalent) (mm) Surface site 1,Relative Humidity (%) Atmospheric site,Rain State Atmospheric site,Rain Intensity (mm/h) Atmospheric site,Wind Speed (m/s) Atmospheric site,Wind Direction (°) Atmospheric site,Visibility (m) Atmospheric site,"Precipitation, Rolling Average (past 1 hour) (mm) Atmospheric site","Precipitation, Rolling Average (past 3 hours) (mm) Atmospheric site","Precipitation, Rolling Average (past 6 hours) (mm) Atmospheric site","Precipitation, Rolling Average (past 12 hours) (mm) Atmospheric site","Precipitation, Rolling Average (past 24 hours) (mm) Atmospheric site",Alarm Status Surface site 1,Rain on/off Atmospheric site,"Wind Direction, near instantaneous value (Spot Direction) (°) Atmospheric site","Wind Speed, near-instantaneous value (Spot Speed) (m/s) Atmospheric site",Max Wind Speed (m/s) Atmospheric site
00:00:00,42.86396677979332,-2.9,,-2.3,-3.5,0.37,0.0,0.05,0.7,92,,0.0,1.6,208,2000,0.1,0.9,2.4,3.9,5.9,0,1,210,1.8,3.0
00:10:00,41.35805541780364,-2.9,,-2.3,-3.5,0.38,0.0,0.05,0.69,92,,0.0,1.3,210,2000,0.0,0.8,2.3,3.9,5.9,0,1,224,1.3,3.0
00:20:00,40.42942248763328,-2.9,,-2.3,-3.6,0.38,0.0,0.05,0.68,91,,0.0,1.5,207,2000,0.0,0.7,2.2,3.9,5.9,0,1,203,0.6,2.9
00:30:00,38.725269305366176,-2.9,,-2.2,-3.6,0.38,0.0,0.05,0.67,91,,0.0,1.3,210,2000,0.0,0.6,2.2,3.9,5.9,0,1,211,0.9,2.8
00:40:00,38.94218766421565,-2.8,,-2.2,-3.7,0.38,0.0,0.05,0.67,89,,0.0,1.5,222,2000,0.0,0.6,2.2,3.9,5.9,0,1,213,1.6,3.1
00:50:00,37.5857876185469,-2.7,,-2.1,-4.0,0.38,0.0,0.05,0.66,87,,0.0,1.9,220,2000,0.0,0.5,2.0,3.9,5.9,0,1,197,2.0,3.4
01:00:00,38.798237297182325,-2.8,,-2.1,-4.2,0.38,0.0,0.06,0.66,86,,0.0,1.9,226,2000,0.0,0.5,2.0,4.0,5.9,0,1,235,3.9,4.7
01:10:00,39.26228678814376,-2.3,2.0,-2.1,-4.3,0.54,1.44,0.0,0.0,85,,0.0,1.6,237,2000,0.0,0.4,1.9,4.0,5.9,1,1,238,2.7,6.4
01:20:00,39.62114128087333,-2.8,2.0,-2.1,-4.3,0.55,1.38,0.0,0.0,85,,0.4,1.9,230,2000,0.0,0.4,1.8,4.0,6.0,1,1,205,1.6,4.0
01:30:00,41.41163956547473,-3.0,2.0,-2.1,-4.4,0.57,1.24,0.0,0.0,85,0.0,0.0,1.4,225,2000,0.0,0.4,1.6,4.0,6.0,1,1,222,2.0,3.7
01:40:00,38.34136579303846,-2.9,2.0,-2.1,-4.6,0.59,1.09,0.0,0.0,83,0.0,0.0,1.6,212,2000,0.0,0.4,1.6,4.0,6.0,1,1,228,1.4,4.1
01:50:00,38.20760152367565,-2.7,2.0,-2.0,-4.5,0.6,1.01,0.0,0.0,83,0.0,0.0,1.5,221,2000,0.0,0.2,1.6,4.0,6.0,2,0,216,1.8,2.9
02:00:00,36.229499720713086,-2.6,2.0,-1.8,-4.6,0.61,0.93,0.0,0.0,82,,0.0,1.3,211,2000,0.0,0.2,1.6,4.0,6.0,2,1,217,1.9,2.9
02:10:00,35.86695147705219,-2.5,2.0,-1.9,-4.8,0.62,0.87,0.0,0.0,81,,0.0,1.8,203,2000,0.0,0.1,1.5,4.0,5.9,2,1,211,1.0,3.6
02:20:00,40.10241747439488,-2.5,2.0,-2.0,-4.8,0.63,0.84,0.0,0.0,81,,0.0,1.6,195,2000,0.0,0.1,1.4,4.0,5.8,2,1,175,1.3,2.9
02:30:00,40.988760848368656,-2.8,2.0,-1.9,-4.8,0.66,0.59,0.05,0.01,81,,0.0,1.2,208,2000,0.0,0.1,1.3,4.0,5.7,2,1,188,1.1,2.9
02:40:00,43.83865470123129,-2.7,2.0,-1.9,-4.7,0.66,0.56,0.05,0.02,81,0.0,0.0,1.1,213,2000,0.0,0.1,1.1,4.0,5.7,2,1,211,1.0,2.3
