Datetime,Speed,Surface Temperature (°C) Surface site 1,Surface State Surface site 1,Air Temperature (°C) Atmospheric site,Dew Point Temperature (°C) Atmospheric site,Level of grip Surface site 1,Water Layer (mm) Surface site 1,Ice Layer (mm) Surface site 1,Snow Layer (water equivalent) (mm) Surface site 1,Relative Humidity (%) Atmospheric site,Rain State Atmospheric site,Rain Intensity (mm/h) Atmospheric site,Wind Speed (m/s) Atmospheric site,Wind Direction (°) Atmospheric site,Visibility (m) Atmospheric site,"Precipitation, Rolling Average (past 1 hour) (mm) Atmospheric site","Precipitation, Rolling Average (past 3 hours) (mm) Atmospheric site","Precipitation, Rolling Average (past 6 hours) (mm) Atmospheric site","Precipitation, Rolling Average (past 12 hours) (mm) Atmospheric site","Precipitation, Rolling Average (past 24 hours) (mm) Atmospheric site",Alarm Status Surface site 1,Rain on/off Atmospheric site,"Wind Direction, near instantaneous value (Spot Direction) (°) Atmospheric site","Wind Speed, near-instantaneous value (Spot Speed) (m/s) Atmospheric site",Max Wind Speed (m/s) Atmospheric site
00:00:00,61.31517699933192,12.4,0,11.1,8.2,0.82,0.01,0,0,82,0,0.0,0.2,192,2000,0.0,0.0,0.0,0.0,0.0,0,1,189,0.4,0.9
00:10:00,57.63297293732444,12.2,1,10.9,8.2,0.82,0.03,0,0,83,1,0.0,0.2,90,2000,0.0,0.0,0.0,0.0,0.0,0,1,39,0.3,1.0
00:20:00,58.073059794891584,12.1,1,10.9,8.6,0.82,0.02,0,0,86,0,0.0,0.2,150,2000,0.0,0.0,0.0,0.0,0.0,0,1,176,0.2,1.1
00:30:00,58.91732357071498,12.0,2,10.7,8.7,0.81,0.06,0,0,87,1,0.0,0.2,169,2000,0.1,0.1,0.1,0.1,0.1,0,1,194,0.3,0.9
00:40:00,59.73180078297021,11.9,1,10.5,8.8,0.82,0.04,0,0,89,0,0.0,0.2,84,2000,0.1,0.1,0.1,0.1,0.1,0,1,312,0.1,0.9
00:50:00,60.34968963765076,11.8,1,10.4,8.9,0.82,0.03,0,0,90,0,0.0,0.2,26,2000,0.1,0.1,0.1,0.1,0.1,0,0,81,0.1,1.3
01:00:00,61.11666686762506,11.9,1,10.5,8.9,0.82,0.02,0,0,90,1,0.0,0.2,333,2000,0.1,0.1,0.1,0.1,0.1,0,1,309,0.2,0.7
01:10:00,57.48285418286181,12.2,1,10.6,9.0,0.82,0.02,0,0,90,0,0.0,0.4,256,2000,0.0,0.1,0.1,0.1,0.1,0,1,225,0.4,0.6
01:20:00,58.54864387997829,11.8,1,10.5,9.1,0.82,0.02,0,0,91,0,0.0,0.6,163,2000,0.0,0.1,0.1,0.1,0.1,0,0,187,0.8,1.2
01:30:00,57.5276703039632,11.8,1,10.5,8.7,0.82,0.02,0,0,89,1,0.0,1.0,165,2000,0.0,0.1,0.1,0.1,0.1,0,1,195,1.2,2.0
01:40:00,58.58273919152637,11.8,2,10.6,8.7,0.81,0.08,0,0,89,1,0.0,0.8,164,2000,0.0,0.1,0.1,0.1,0.1,0,1,151,1.1,1.9
01:50:00,59.24918215787654,11.7,2,10.5,8.8,0.8,0.1,0,0,89,1,0.0,0.9,157,2000,0.0,0.1,0.1,0.1,0.1,0,1,175,0.6,2.1
02:00:00,56.99235148291485,11.6,2,10.4,8.8,0.73,0.23,0,0,90,1,0.4,1.5,133,2000,0.2,0.2,0.2,0.2,0.2,0,1,138,1.2,2.3
02:10:00,53.12085801231481,11.5,2,10.3,8.9,0.69,0.4,0,0,91,1,0.0,1.2,153,2000,0.2,0.3,0.3,0.3,0.3,0,1,113,1.5,2.8
02:20:00,59.64575901953563,11.5,2,10.2,8.8,0.69,0.39,0,0,91,1,0.0,1.8,131,2000,0.2,0.3,0.3,0.3,0.3,0,1,140,1.9,2.9
02:30:00,59.57662599312377,11.4,2,10.2,8.9,0.7,0.32,0,0,92,0,0.0,0.9,114,2000,0.2,0.3,0.3,0.3,0.3,0,1,113,1.3,2.3
02:40:00,58.83998676570048,11.4,2,10.2,8.9,0.71,0.29,0,0,92,1,0.4,1.2,131,2000,0.2,0.3,0.3,0.3,0.3,0,1,132,0.9,1.9
02:50:00,56.94227326508875,11.4,2,10.2,8.9,0.72,0.27,0,0,92,1,0.4,1.0,145,2000,0.2,0.3,0.3,0.3,0.3,0,1,145,1.6,2.6
03:00:00,58.78355487714286,11.3,2,10.1,8.9,0.73,0.25,0,0,93,0,0.0,0.5,167,2000,0.1,0.3,0.3,0.3,0.3,0,1,178,0.6,2.0
03:10:00,60.354388230794704,11.2,2,9.9,8.8,0.73,0.23,0,0,93,0,0.0,0.5,160,2000,0.0,0.3,0.3,0.3,0.3,0,0,158,0.5,1.4
03:20:00,59.551715725633805,11.3,2,9.9,8.8,0.74,0.22,0,0,93,0,0.0,0.6,165,2000,0.0,0.3,0.3,0.3,0.3,0,0,154,0.5,1.3
03:30:00,59.45019985195195,11.3,2,9.9,8.8,0.74,0.21,0,0,93,0,0.0,0.6,155,2000,0.0,0.3,0.3,0.3,0.3,0,1,156,0.6,1.1
03:40:00,59.18888868413615,11.3,2,10.0,8.9,0.75,0.2,0,0,93,0,0.0,0.3,218,2000,0.0,0.3,0.3,0.3,0.3,0,1,217,0.1,1.3
03:50:00,58.67512599280868,11.3,2,10.0,8.9,0.75,0.19,0,0,93,0,0.0,0.4,140,2000,0.0,0.3,0.3,0.3,0.3,0,0,121,0.6,0.8
04:00:00,58.99511731670886,11.2,2,10.0,8.9,0.75,0.19,0,0,94,0,0.0,0.1,254,2000,0.0,0.3,0.3,0.3,0.3,0,0,139,0.2,0.6
04:10:00,59.67046959878811,11.2,2,9.9,9.0,0.76,0.18,0,0,95,0,0.0,0.9,123,2000,0.0,0.3,0.3,0.3,0.3,0,0,127,0.9,1.4
04:20:00,61.21775862632541,11.1,2,9.9,8.8,0.76,0.17,0,0,93,0,0.0,1.4,131,2000,0.0,0.3,0.3,0.3,0.3,0,0,122,1.3,2.1
04:30:00,59.76135439145078,11.0,2,9.9,8.7,0.76,0.18,0,0,93,1,0.0,0.8,209,2000,0.0,0.3,0.3,0.3,0.3,0,1,231,1.1,2.1
