Datetime,Speed,Surface Temperature (°C) Surface site 1,Surface State Surface site 1,Air Temperature (°C) Atmospheric site,Dew Point Temperature (°C) Atmospheric site,Level of grip Surface site 1,Water Layer (mm) Surface site 1,Ice Layer (mm) Surface site 1,Snow Layer (water equivalent) (mm) Surface site 1,Relative Humidity (%) Atmospheric site,Rain State Atmospheric site,Rain Intensity (mm/h) Atmospheric site,Wind Speed (m/s) Atmospheric site,Wind Direction (°) Atmospheric site,Visibility (m) Atmospheric site,"Precipitation, Rolling Average (past 1 hour) (mm) Atmospheric site","Precipitation, Rolling Average (past 3 hours) (mm) Atmospheric site","Precipitation, Rolling Average (past 6 hours) (mm) Atmospheric site","Precipitation, Rolling Average (past 12 hours) (mm) Atmospheric site","Precipitation, Rolling Average (past 24 hours) (mm) Atmospheric site",Alarm Status Surface site 1,Rain on/off Atmospheric site,"Wind Direction, near instantaneous value (Spot Direction) (°) Atmospheric site","Wind Speed, near-instantaneous value (Spot Speed) (m/s) Atmospheric site",Max Wind Speed (m/s) Atmospheric site
00:00:00,61.28893723172653,5.3,2,5.0,1.1,0.74,0.21,0,0,77,0,0.0,2.0,179,2000,0.1,0.1,3.1,6.2,7.9,0,0,163,0.9,6.5
00:10:00,60.87683056100033,5.5,2,5.0,0.9,0.75,0.2,0,0,75,0,0.0,2.6,178,2000,0.1,0.1,3.1,6.2,7.9,0,0,185,1.5,5.2
00:20:00,59.40452049796103,5.4,2,5.5,0.9,0.76,0.18,0,0,72,0,0.0,3.9,199,2000,0.0,0.1,3.0,6.2,7.9,0,0,204,3.3,8.5
00:30:00,57.25899593336065,5.3,2,5.4,1.1,0.76,0.17,0,0,74,0,0.0,3.0,186,2000,0.0,0.1,2.9,6.2,7.9,0,0,173,3.8,8.0
00:40:00,58.11991510643663,5.3,2,5.5,1.3,0.77,0.16,0,0,75,0,0.0,4.1,191,2000,0.0,0.1,2.9,6.2,7.9,0,0,194,1.5,7.9
00:50:00,58.64459629557661,5.0,2,5.0,1.8,0.76,0.17,0,0,80,1,0.4,4.7,199,2000,0.0,0.1,2.8,6.2,7.9,0,1,196,1.0,10.0
01:00:00,59.68637777947976,4.9,2,4.8,1.6,0.76,0.17,0,0,80,0,0.0,5.0,197,2000,0.0,0.1,2.8,6.2,7.9,0,1,181,4.4,9.2
01:10:00,60.09807262483302,4.9,2,4.6,1.7,0.77,0.16,0,0,82,0,0.0,3.2,194,2000,0.0,0.1,2.7,6.2,7.9,0,0,203,4.1,7.9
01:20:00,59.73051101933884,4.8,2,4.4,1.7,0.77,0.16,0,0,83,0,0.0,3.0,183,2000,0.0,0.1,2.4,6.2,7.9,0,0,195,1.8,7.6
01:30:00,59.81415419955516,4.7,2,4.2,1.5,0.77,0.15,0,0,83,0,0.0,3.5,175,2000,0.0,0.1,2.0,6.2,7.9,0,0,149,1.6,7.0
01:40:00,59.95498425206896,4.7,2,4.1,1.5,0.77,0.16,0,0,83,1,0.0,3.7,188,2000,0.0,0.1,1.6,6.2,7.9,0,1,181,2.2,7.3
01:50:00,63.02462923994862,4.7,2,3.9,1.7,0.74,0.22,0,0,86,1,0.0,2.4,167,2000,0.0,0.1,1.4,6.2,7.9,0,1,191,4.1,6.9
02:00:00,60.213428972992695,4.8,2,4.0,1.8,0.73,0.23,0,0,86,1,0.0,2.3,171,2000,0.0,0.1,1.2,6.2,7.8,0,1,182,3.0,6.7
02:10:00,58.487384137935656,4.8,2,3.9,2.0,0.73,0.25,0,0,87,1,0.0,3.3,162,2000,0.0,0.1,1.0,6.2,7.7,0,1,176,3.6,6.9
02:20:00,59.93516716175663,4.7,2,3.9,2.2,0.71,0.3,0,0,89,1,0.0,2.8,158,2000,0.1,0.1,0.9,6.2,7.7,0,1,190,2.1,7.7
02:30:00,57.70668293655031,4.8,2,3.9,2.3,0.69,0.36,0,0,89,1,0.4,2.9,173,2000,0.1,0.1,0.7,6.0,7.7,0,1,187,2.9,7.0
02:40:00,60.36687329276773,4.8,2,4.1,2.3,0.69,0.37,0,0,88,1,0.4,2.9,177,2000,0.1,0.1,0.2,5.9,7.8,0,1,163,3.2,9.1
02:50:00,60.09155102620482,4.8,2,4.0,2.2,0.7,0.33,0,0,88,1,0.4,3.3,181,2000,0.1,0.2,0.2,5.9,7.8,0,1,171,4.1,7.6
03:00:00,63.03743188876032,4.8,2,4.1,2.1,0.7,0.33,0,0,87,1,0.4,3.4,177,2000,0.2,0.2,0.3,5.8,7.8,0,1,188,3.4,9.2
03:10:00,59.94579174833018,4.8,2,4.1,2.1,0.71,0.3,0,0,87,1,0.4,3.6,183,2000,0.2,0.2,0.3,5.6,7.8,0,1,209,4.2,8.6
03:20:00,62.8798719640578,4.8,2,4.2,2.2,0.72,0.28,0,0,87,1,0.4,3.7,210,2000,0.2,0.2,0.3,5.3,7.9,0,1,211,4.3,7.0
03:30:00,59.11344248093023,4.7,2,4.2,2.1,0.72,0.25,0,0,86,1,0.0,3.4,194,2000,0.2,0.3,0.3,5.0,7.9,0,1,228,1.8,8.2
03:40:00,58.70707445132299,4.9,2,4.3,2.4,0.73,0.24,0,0,87,1,0.0,2.5,186,2000,0.1,0.3,0.3,4.5,7.9,0,1,178,3.0,7.2
03:50:00,58.16795967889964,5.0,2,4.4,2.5,0.74,0.22,0,0,88,0,0.0,3.3,187,2000,0.1,0.3,0.3,4.4,7.9,0,1,196,4.4,7.6
04:00:00,60.62544202292857,5.0,2,4.5,2.7,0.74,0.21,0,0,88,0,0.0,1.6,179,2000,0.1,0.3,0.3,4.4,7.9,0,0,176,3.5,6.9
04:10:00,59.17830826204141,5.4,2,5.0,3.5,0.75,0.2,0,0,90,0,0.0,2.0,219,2000,0.0,0.3,0.3,4.3,7.9,0,0,209,2.9,5.0
04:20:00,60.09266167803296,5.1,2,4.9,3.0,0.75,0.19,0,0,88,0,0.0,3.2,252,2000,0.0,0.3,0.3,3.9,7.9,0,0,241,3.9,7.2
04:30:00,61.78532113909652,5.0,2,4.6,2.8,0.75,0.19,0,0,88,0,0.0,2.6,247,2000,0.0,0.3,0.3,3.8,7.9,0,0,239,4.5,5.9
04:40:00,60.81595146533363,5.0,2,4.4,2.6,0.76,0.18,0,0,88,0,0.0,2.9,238,2000,0.0,0.3,0.3,3.8,7.9,0,0,246,4.5,5.4
04:50:00,60.64915939604375,4.9,2,4.3,2.6,0.76,0.17,0,0,88,0,0.0,3.3,237,2000,0.0,0.2,0.3,3.8,7.9,0,0,226,3.2,5.8
05:00:00,61.61809711593814,4.9,2,4.3,2.5,0.77,0.17,0,0,88,0,0.0,2.9,229,2000,0.0,0.2,0.3,3.6,7.9,0,0,232,2.4,5.7
05:10:00,61.97890914813283,4.9,2,4.3,2.3,0.77,0.16,0,0,87,0,0.0,2.1,224,2000,0.0,0.2,0.3,3.6,7.9,0,0,195,1.5,3.9
05:20:00,62.186358215300416,5.0,2,4.4,2.3,0.77,0.15,0,0,87,0,0.0,2.2,237,2000,0.0,0.2,0.3,3.6,7.9,0,0,246,2.2,3.8
05:30:00,61.63466473295397,5.0,2,4.4,2.4,0.77,0.15,0,0,87,0,0.0,1.9,211,2000,0.0,0.2,0.3,3.4,7.9,0,0,215,2.1,4.3
05:40:00,62.4009318924718,4.9,2,4.4,2.2,0.78,0.14,0,0,86,0,0.0,2.8,236,2000,0.0,0.1,0.3,3.3,7.9,0,0,238,2.7,4.3
05:50:00,62.46062134608802,4.8,2,4.4,2.1,0.78,0.14,0,0,85,0,0.0,2.2,227,2000,0.0,0.1,0.3,3.3,7.9,0,0,233,2.5,4.0
06:00:00,62.70626301034951,5.0,2,4.5,2.2,0.78,0.14,0,0,85,0,0.0,1.9,209,2000,0.0,0.1,0.3,3.3,7.9,0,0,226,1.9,2.9
06:10:00,62.12745849034691,5.0,2,4.5,2.2,0.78,0.13,0,0,85,0,0.0,1.2,232,2000,0.0,0.0,0.3,3.3,7.8,0,0,211,1.9,3.0
06:20:00,61.99919663657423,5.1,2,4.6,2.2,0.79,0.12,0,0,84,0,0.0,1.3,232,2000,0.0,0.0,0.3,3.3,7.8,0,0,224,1.6,2.8
06:30:00,60.73034727607008,5.2,2,4.7,2.3,0.79,0.12,0,0,85,0,0.0,1.3,217,2000,0.0,0.0,0.3,3.2,7.8,0,0,217,1.8,2.9
06:40:00,59.81667995582819,5.2,2,4.7,2.3,0.79,0.13,0,0,85,1,0.0,1.3,181,2000,0.0,0.0,0.3,3.2,7.7,0,1,206,2.0,2.9
06:50:00,60.57125366265015,5.3,2,4.7,2.7,0.78,0.15,0,0,88,1,0.4,0.9,192,2000,0.0,0.0,0.3,3.1,7.4,0,1,148,0.9,2.4
