Datetime,Speed,Surface Temperature (°C) Surface site 1,Surface State Surface site 1,Air Temperature (°C) Atmospheric site,Dew Point Temperature (°C) Atmospheric site,Level of grip Surface site 1,Water Layer (mm) Surface site 1,Ice Layer (mm) Surface site 1,Snow Layer (water equivalent) (mm) Surface site 1,Relative Humidity (%) Atmospheric site,Rain State Atmospheric site,Rain Intensity (mm/h) Atmospheric site,Wind Speed (m/s) Atmospheric site,Wind Direction (°) Atmospheric site,Visibility (m) Atmospheric site,"Precipitation, Rolling Average (past 1 hour) (mm) Atmospheric site","Precipitation, Rolling Average (past 3 hours) (mm) Atmospheric site","Precipitation, Rolling Average (past 6 hours) (mm) Atmospheric site","Precipitation, Rolling Average (past 12 hours) (mm) Atmospheric site","Precipitation, Rolling Average (past 24 hours) (mm) Atmospheric site",Alarm Status Surface site 1,Rain on/off Atmospheric site,"Wind Direction, near instantaneous value (Spot Direction) (°) Atmospheric site","Wind Speed, near-instantaneous value (Spot Speed) (m/s) Atmospheric site",Max Wind Speed (m/s) Atmospheric site
00:00:00,60.425625411394094,-1.5,2,-2.3,-7.6,0.8,0.09,0,0,67,0,0,0.5,67,2000,0,0,0,0,0,0,0,92,0.5,2.1
00:10:00,59.905070223899365,-1.6,2,-2.4,-7.5,0.8,0.09,0,0,68,0,0,1.0,60,2000,0,0,0,0,0,0,0,74,0.8,2.7
00:20:00,59.300594888159154,-1.5,2,-2.3,-7.3,0.8,0.09,0,0,69,0,0,1.2,71,2000,0,0,0,0,0,0,0,62,1.2,3.2
00:30:00,59.33951797814448,-1.6,2,-2.4,-7.7,0.8,0.09,0,0,67,0,0,0.9,43,2000,0,0,0,0,0,0,0,71,0.6,3.8
00:40:00,58.93901933078593,-1.6,2,-2.4,-7.5,0.8,0.09,0,0,68,0,0,0.8,52,2000,0,0,0,0,0,0,0,60,0.4,3.1
00:50:00,58.40453923282085,-1.7,2,-2.5,-7.7,0.8,0.09,0,0,68,0,0,1.7,71,2000,0,0,0,0,0,0,0,67,1.9,3.5
01:00:00,58.712641436851854,-1.7,2,-2.5,-7.8,0.8,0.09,0,0,68,0,0,0.6,38,2000,0,0,0,0,0,0,0,59,0.3,2.9
01:10:00,60.03053126867627,-1.7,2,-2.5,-7.4,0.8,0.09,0,0,69,0,0,1.0,60,2000,0,0,0,0,0,0,0,56,1.2,2.7
01:20:00,60.62659837528516,-1.7,2,-2.6,-7.8,0.8,0.09,0,0,68,0,0,0.7,8,2000,0,0,0,0,0,0,0,316,1.2,2.6
01:30:00,61.06797729857143,-1.7,2,-2.6,-7.5,0.8,0.1,0,0,69,0,0,1.2,84,2000,0,0,0,0,0,0,0,88,0.8,2.8
01:40:00,62.55500485723496,-1.8,2,-2.7,-7.6,0.8,0.1,0,0,69,0,0,1.1,78,2000,0,0,0,0,0,0,0,80,0.6,3.0
01:50:00,60.782223137341305,-1.7,2,-2.7,-7.5,0.8,0.09,0,0,69,0,0,0.9,105,2000,0,0,0,0,0,0,0,93,1.0,2.7
02:00:00,61.4288487374542,-1.8,2,-2.7,-7.6,0.8,0.09,0,0,69,0,0,0.8,111,2000,0,0,0,0,0,0,0,133,0.6,2.5
02:10:00,61.3032183792274,-1.8,2,-2.7,-7.7,0.8,0.09,0,0,68,0,0,0.5,69,2000,0,0,0,0,0,0,0,105,0.9,1.7
02:20:00,58.21112485400624,-1.8,2,-2.7,-7.6,0.8,0.09,0,0,69,0,0,1.3,116,2000,0,0,0,0,0,0,0,114,1.2,3.2
02:30:00,61.40308102245667,-1.8,2,-2.7,-7.4,0.8,0.09,0,0,70,0,0,1.5,101,2000,0,0,0,0,0,0,0,85,1.4,2.4
02:40:00,60.86462664390862,-1.9,2,-2.7,-7.5,0.8,0.1,0,0,70,0,0,0.9,84,2000,0,0,0,0,0,0,0,83,0.5,2.6
02:50:00,62.46621021394317,-1.9,2,-2.8,-7.8,0.8,0.09,0,0,69,0,0,1.1,82,2000,0,0,0,0,0,0,0,71,1.1,3.3
03:00:00,66.06829368136792,-2.0,2,-2.9,-7.9,0.8,0.09,0,0,69,0,0,0.7,66,2000,0,0,0,0,0,0,0,36,0.3,2.2
03:10:00,62.85941448233809,-2.0,2,-2.9,-7.6,0.8,0.09,0,0,70,0,0,1.8,64,2000,0,0,0,0,0,0,0,70,1.3,4.4
03:20:00,59.61657129021582,-2.1,2,-3.0,-7.8,0.8,0.09,0,0,70,0,0,0.3,107,2000,0,0,0,0,0,0,0,42,0.5,2.7
03:30:00,60.87309936036542,-2.2,2,-3.0,-7.8,0.8,0.09,0,0,70,0,0,0.6,46,2000,0,0,0,0,0,0,0,56,0.4,1.9
03:40:00,63.44266064330756,-2.2,2,-3.1,-7.8,0.8,0.09,0,0,70,0,0,0.5,43,2000,0,0,0,0,0,0,0,67,0.5,0.9
03:50:00,59.06056795399746,-2.3,2,-3.1,-7.7,0.8,0.1,0,0,71,0,0,0.5,47,2000,0,0,0,0,0,0,0,95,0.9,1.1
04:00:00,60.5995117666408,-2.6,2,-3.1,-8.0,0.8,0.1,0,0,69,0,0,0.9,63,2000,0,0,0,0,0,0,0,102,0.9,1.6
04:10:00,59.65069300574989,-2.9,2,-3.1,-7.9,0.8,0.09,0,0,70,0,0,0.6,276,2000,0,0,0,0,0,0,0,299,0.6,1.4
04:20:00,62.24160664565368,-3.1,2,-3.3,-8.0,0.8,0.1,0,0,70,0,0,0.5,357,2000,0,0,0,0,0,0,0,33,0.3,1.4
