Datetime,Speed,Surface Temperature (°C) Surface site 1,Surface State Surface site 1,Air Temperature (°C) Atmospheric site,Dew Point Temperature (°C) Atmospheric site,Level of grip Surface site 1,Water Layer (mm) Surface site 1,Ice Layer (mm) Surface site 1,Snow Layer (water equivalent) (mm) Surface site 1,Relative Humidity (%) Atmospheric site,Rain State Atmospheric site,Rain Intensity (mm/h) Atmospheric site,Wind Speed (m/s) Atmospheric site,Wind Direction (°) Atmospheric site,Visibility (m) Atmospheric site,"Precipitation, Rolling Average (past 1 hour) (mm) Atmospheric site","Precipitation, Rolling Average (past 3 hours) (mm) Atmospheric site","Precipitation, Rolling Average (past 6 hours) (mm) Atmospheric site","Precipitation, Rolling Average (past 12 hours) (mm) Atmospheric site","Precipitation, Rolling Average (past 24 hours) (mm) Atmospheric site",Alarm Status Surface site 1,Rain on/off Atmospheric site,"Wind Direction, near instantaneous value (Spot Direction) (°) Atmospheric site","Wind Speed, near-instantaneous value (Spot Speed) (m/s) Atmospheric site",Max Wind Speed (m/s) Atmospheric site
00:00:00,61.06084484520686,0.1,0.0,-2.4,-6.1,0.82,0.0,0.0,0.0,76,0.0,0.0,0.6,71,2000,0.0,0.0,0.0,0.0,0.0,1,0,49,0.5,1.0
00:10:00,60.26333987236266,0.1,0.0,-2.5,-6.0,0.82,0.0,0.0,0.0,77,0.0,0.0,0.5,88,2000,0.0,0.0,0.0,0.0,0.0,1,0,83,0.5,1.0
00:20:00,60.59689551902455,0.0,0.0,-2.4,-5.9,0.82,0.0,0.0,0.0,78,0.0,0.0,0.8,69,2000,0.0,0.0,0.0,0.0,0.0,1,0,80,0.6,1.2
00:30:00,60.85493515615692,0.1,0.0,-2.3,-5.7,0.82,0.0,0.0,0.0,78,0.0,0.0,1.1,56,2000,0.0,0.0,0.0,0.0,0.0,1,0,56,1.1,2.1
00:40:00,60.16447741631037,0.1,0.0,-2.0,-5.8,0.82,0.0,0.0,0.0,75,0.0,0.0,0.9,68,2000,0.0,0.0,0.0,0.0,0.0,1,0,78,1.1,2.6
00:50:00,59.13292599303087,0.1,0.0,-2.1,-5.8,0.82,0.0,0.0,0.0,76,0.0,0.0,0.5,79,2000,0.0,0.0,0.0,0.0,0.0,1,0,112,0.3,2.7
01:00:00,60.31342874090462,0.0,0.0,-2.3,-5.7,0.82,0.0,0.0,0.0,78,0.0,0.0,0.9,63,2000,0.0,0.0,0.0,0.0,0.0,1,0,52,1.0,1.8
01:10:00,61.78376308028283,0.0,0.0,-2.3,-5.7,0.82,0.0,0.0,0.0,78,0.0,0.0,0.6,75,2000,0.0,0.0,0.0,0.0,0.0,1,0,68,0.9,1.8
01:20:00,61.3744022235904,0.0,0.0,-2.4,-5.6,0.82,0.0,0.0,0.0,79,0.0,0.0,0.8,68,2000,0.0,0.0,0.0,0.0,0.0,1,0,87,0.7,1.4
01:30:00,58.92057290195167,0.0,0.0,-2.4,-5.6,0.82,0.0,0.0,0.0,79,0.0,0.0,0.8,74,2000,0.0,0.0,0.0,0.0,0.0,1,0,76,0.8,1.6
01:40:00,59.83048245399274,0.0,0.0,-2.2,-5.5,0.82,0.0,0.0,0.0,78,0.0,0.0,1.2,73,2000,0.0,0.0,0.0,0.0,0.0,1,0,79,1.1,3.0
01:50:00,60.60941123336624,0.0,0.0,-2.1,-5.5,0.82,0.0,0.0,0.0,78,0.0,0.0,1.8,67,2000,0.0,0.0,0.0,0.0,0.0,1,0,70,1.6,3.0
02:00:00,58.44937060197785,0.0,0.0,-2.1,-5.5,0.82,0.0,0.0,0.0,78,0.0,0.0,1.1,64,2000,0.0,0.0,0.0,0.0,0.0,1,0,45,0.7,3.0
02:10:00,59.90788271351203,0.0,0.0,-2.0,-5.5,0.82,0.0,0.0,0.0,77,0.0,0.0,1.2,67,2000,0.0,0.0,0.0,0.0,0.0,1,0,69,1.1,2.4
02:20:00,60.02069376797488,0.0,0.0,-1.9,-5.4,0.82,0.0,0.0,0.0,77,0.0,0.0,1.2,63,2000,0.0,0.0,0.0,0.0,0.0,1,0,70,1.3,2.9
02:30:00,60.61757543351206,0.0,0.0,-1.9,-5.4,0.82,0.0,0.0,0.0,77,0.0,0.0,1.2,63,2000,0.0,0.0,0.0,0.0,0.0,1,0,81,1.3,4.0
